"file","cat","conf"
"CATH13b__2020-08-10__15-28-19.jpg","Animal",0.379
"CATH13b__2020-08-10__15-36-33.jpg","Human",0.999
"CATH13b__2020-08-10__15-36-37.jpg","Human",0.999
"CATH13b__2020-08-10__15-36-37.jpg","Human",0.998
"CATH13b__2020-08-10__15-36-39.jpg","Human",0.998
"CATH13b__2020-08-10__15-36-39.jpg","Human",0.998
"CATH13b__2020-08-10__15-36-39.jpg","Human",0.985
"CATH13b__2020-08-10__15-36-39.jpg","Vehicle",0.21
"CATH13b__2020-08-10__15-36-39.jpg","Human",0.16
"CATH13b__2020-08-10__15-36-39.jpg","Human",0.134
"CATH13b__2020-08-10__15-36-40.jpg","Human",0.997
"CATH13b__2020-08-10__15-36-40.jpg","Human",0.996
"CATH13b__2020-08-10__15-36-40.jpg","Human",0.987
"CATH13b__2020-08-10__15-36-43.jpg","Human",0.998
"CATH13b__2020-08-10__15-36-43.jpg","Human",0.996
"CATH13b__2020-08-10__15-36-43.jpg","Human",0.991
"CATH13b__2020-08-10__15-36-43.jpg","Human",0.938
"CATH13b__2020-08-10__15-36-43.jpg","Human",0.17
"CATH13b__2020-08-10__15-36-43.jpg","Human",0.163
"CATH13b__2020-08-10__15-36-44.jpg","Human",0.999
"CATH13b__2020-08-10__15-36-44.jpg","Human",0.996
"CATH13b__2020-08-10__15-36-44.jpg","Human",0.996
"CATH13b__2020-08-10__15-36-46.jpg","Human",0.997
"CATH13b__2020-08-10__15-36-46.jpg","Human",0.995
"CATH13b__2020-08-10__15-36-46.jpg","Human",0.897
"CATH13b__2020-08-10__15-36-46.jpg","Human",0.884
"CATH13b__2020-08-10__15-36-46.jpg","Human",0.229
"CATH13b__2020-08-10__15-36-47.jpg","Human",0.998
"CATH13b__2020-08-10__15-36-47.jpg","Human",0.979
"CATH13b__2020-08-10__15-36-47.jpg","Human",0.882
"CATH13b__2020-08-10__15-36-47.jpg","Human",0.81
"CATH13b__2020-08-10__15-36-47.jpg","Human",0.508
"CATH13b__2020-08-10__15-36-47.jpg","Human",0.183
"CATH13b__2020-08-10__15-36-49.jpg","Human",0.98
"CATH13b__2020-08-11__08-41-32.jpg","Animal",0.999
"CATH13b__2020-08-11__08-41-49.jpg","Animal",0.998
"CATH13b__2020-08-11__09-10-15.jpg","Human",0.998
"CATH13b__2020-08-11__09-10-17.jpg","Human",0.998
"CATH13b__2020-08-11__09-10-18.jpg","Human",0.998
"CATH13b__2020-08-11__09-10-20.jpg","Human",0.998
"CATH13b__2020-08-11__09-10-23.jpg","Human",0.999
"CATH13b__2020-08-11__09-10-23.jpg","Human",0.999
"CATH13b__2020-08-11__09-10-25.jpg","Human",0.999
"CATH13b__2020-08-11__09-10-25.jpg","Human",0.999
"CATH13b__2020-08-11__09-10-26.jpg","Human",0.999
"CATH13b__2020-08-11__09-10-26.jpg","Human",0.998
"CATH13b__2020-08-11__09-10-26.jpg","Human",0.116
"CATH13b__2020-08-11__09-10-32.jpg","Human",0.998
"CATH13b__2020-08-11__09-10-32.jpg","Human",0.986
"CATH13b__2020-08-11__09-10-32.jpg","Human",0.169
"CATH13b__2020-08-11__09-10-33.jpg","Human",0.998
"CATH13b__2020-08-11__09-10-33.jpg","Human",0.998
"CATH13b__2020-08-11__09-10-33.jpg","Human",0.997
"CATH13b__2020-08-11__09-10-35.jpg","Human",0.999
"CATH13b__2020-08-11__09-10-35.jpg","Human",0.998
"CATH13b__2020-08-11__09-10-35.jpg","Human",0.995
"CATH13b__2020-08-11__09-10-36.jpg","Human",0.999
"CATH13b__2020-08-11__09-10-36.jpg","Human",0.998
"CATH13b__2020-08-11__09-10-36.jpg","Human",0.997
"CATH13b__2020-08-11__09-10-38.jpg","Human",0.998
