"file","cat","conf"
"CATH16__2019-07-04__13-11-43.jpg","Human",0.999
"CATH16__2019-07-04__13-11-44.jpg","Human",0.998
"CATH16__2019-07-04__13-11-46.jpg","Blank",0
"CATH16__2019-07-04__13-11-46.jpg","Blank",0
"CATH16__2019-07-04__13-17-31.jpg","Human",0.999
"CATH16__2019-07-04__13-17-32.jpg","Human",0.999
"CATH16__2019-07-04__13-17-34.jpg","Human",0.99
"CATH16__2019-07-04__13-19-33.jpg","Human",0.998
"CATH16__2019-07-04__13-19-35.jpg","Human",0.998
"CATH16__2019-07-04__13-19-38.jpg","Human",0.998
"CATH16__2019-07-04__13-19-40.jpg","Human",0.998
"CATH16__2019-07-04__13-19-45.jpg","Human",0.998
"CATH16__2019-07-04__13-19-46.jpg","Animal",0.131
"CATH16__2019-07-05__12-00-00.jpg","Blank",0
"CATH16__2019-07-05__12-00-00.jpg","Blank",0
"CATH16__2019-07-06__12-00-00.jpg","Blank",0
"CATH16__2019-07-06__12-00-00.jpg","Blank",0
"CATH16__2019-07-07__12-00-00.jpg","Animal",0.937
"CATH16__2019-07-08__12-00-00.jpg","Blank",0
"CATH16__2019-07-08__12-00-00.jpg","Blank",0
"CATH16__2019-07-09__12-00-00.jpg","Blank",0
"CATH16__2019-07-09__12-00-00.jpg","Blank",0
"CATH16__2019-07-10__12-00-00.jpg","Blank",0
"CATH16__2019-07-10__12-00-00.jpg","Blank",0
"CATH16__2019-07-11__12-00-00.jpg","Animal",0.158
"CATH16__2019-07-12__12-00-00.jpg","Blank",0
"CATH16__2019-07-12__12-00-00.jpg","Blank",0
"CATH16__2019-07-13__12-00-00.jpg","Blank",0
"CATH16__2019-07-13__12-00-00.jpg","Blank",0
"CATH16__2019-07-14__12-00-00.jpg","Blank",0
"CATH16__2019-07-14__12-00-00.jpg","Blank",0
"CATH16__2019-07-15__12-00-00.jpg","Blank",0
"CATH16__2019-07-15__12-00-00.jpg","Blank",0
"CATH16__2019-07-16__12-00-00.jpg","Blank",0
"CATH16__2019-07-16__12-00-00.jpg","Blank",0
"CATH16__2019-07-17__12-00-00.jpg","Blank",0
"CATH16__2019-07-17__12-00-00.jpg","Blank",0
"CATH16__2019-07-18__12-00-00.jpg","Blank",0
"CATH16__2019-07-18__12-00-00.jpg","Blank",0
"CATH16__2019-07-19__12-00-00.jpg","Blank",0
"CATH16__2019-07-19__12-00-00.jpg","Blank",0
"CATH16__2019-07-20__12-00-00.jpg","Blank",0
"CATH16__2019-07-20__12-00-00.jpg","Blank",0
"CATH16__2019-07-20__18-23-34.jpg","Animal",0.999
"CATH16__2019-07-20__18-23-38.jpg","Animal",0.994
"CATH16__2019-07-21__12-00-00.jpg","Blank",0
"CATH16__2019-07-21__12-00-00.jpg","Blank",0
"CATH16__2019-07-21__13-04-57.jpg","Blank",0
"CATH16__2019-07-21__13-04-57.jpg","Blank",0
"CATH16__2019-07-21__16-13-38.jpg","Animal",0.986
"CATH16__2019-07-22__01-05-36.jpg","Animal",0.998
"CATH16__2019-07-22__01-05-51.jpg","Animal",0.987
"CATH16__2019-07-22__01-06-01.jpg","Blank",0
"CATH16__2019-07-22__01-06-01.jpg","Blank",0
"CATH16__2019-07-22__12-00-00.jpg","Blank",0
"CATH16__2019-07-22__12-00-00.jpg","Blank",0
"CATH16__2019-07-23__03-16-53.jpg","Animal",0.998
"CATH16__2019-07-23__03-16-56.jpg","Animal",0.977
"CATH16__2019-07-23__03-16-56.jpg","Animal",0.964
"CATH16__2019-07-23__03-16-56.jpg","Animal",0.867
"CATH16__2019-07-23__03-16-56.jpg","Animal",0.415
"CATH16__2019-07-23__03-16-56.jpg","Animal",0.221
"CATH16__2019-07-23__03-16-56.jpg","Animal",0.219
"CATH16__2019-07-23__03-16-56.jpg","Animal",0.178
"CATH16__2019-07-23__03-16-57.jpg","Animal",0.998
"CATH16__2019-07-23__03-17-00.jpg","Animal",0.998
"CATH16__2019-07-23__12-00-00.jpg","Blank",0
"CATH16__2019-07-23__12-00-00.jpg","Blank",0
"CATH16__2019-07-24__12-00-00.jpg","Blank",0
"CATH16__2019-07-24__12-00-00.jpg","Blank",0
"CATH16__2019-07-25__12-00-00.jpg","Blank",0
"CATH16__2019-07-25__12-00-00.jpg","Blank",0
"CATH16__2019-07-26__08-42-00.jpg","Blank",0
"CATH16__2019-07-26__08-42-00.jpg","Blank",0
"CATH16__2019-07-26__08-42-02.jpg","Blank",0
"CATH16__2019-07-26__08-42-02.jpg","Blank",0
"CATH16__2019-07-26__10-05-05.jpg","Blank",0
"CATH16__2019-07-26__10-05-05.jpg","Blank",0
"CATH16__2019-07-26__12-00-00.jpg","Blank",0
"CATH16__2019-07-26__12-00-00.jpg","Blank",0
"CATH16__2019-07-27__12-00-00.jpg","Blank",0
"CATH16__2019-07-27__12-00-00.jpg","Blank",0
"CATH16__2019-07-28__12-00-00.jpg","Blank",0
"CATH16__2019-07-28__12-00-00.jpg","Blank",0
"CATH16__2019-07-29__12-00-00.jpg","Blank",0
"CATH16__2019-07-29__12-00-00.jpg","Blank",0
"CATH16__2019-07-30__12-00-00.jpg","Blank",0
"CATH16__2019-07-30__12-00-00.jpg","Blank",0
"CATH16__2019-07-31__12-00-00.jpg","Blank",0
"CATH16__2019-07-31__12-00-00.jpg","Blank",0
"CATH16__2019-08-01__12-00-00.jpg","Blank",0
"CATH16__2019-08-01__12-00-00.jpg","Blank",0
"CATH16__2019-08-02__12-00-00.jpg","Blank",0
"CATH16__2019-08-02__12-00-00.jpg","Blank",0
"CATH16__2019-08-03__02-53-07.jpg","Animal",0.998
"CATH16__2019-08-03__02-53-08.jpg","Animal",0.997
"CATH16__2019-08-03__10-43-00.jpg","Blank",0
"CATH16__2019-08-03__10-43-00.jpg","Blank",0
"CATH16__2019-08-03__12-00-00.jpg","Blank",0
"CATH16__2019-08-03__12-00-00.jpg","Blank",0
"CATH16__2019-08-04__11-56-44.jpg","Animal",0.842
"CATH16__2019-08-04__12-00-00.jpg","Blank",0
"CATH16__2019-08-04__12-00-00.jpg","Blank",0
"CATH16__2019-08-05__03-44-20.jpg","Animal",0.995
"CATH16__2019-08-05__03-44-20.jpg","Animal",0.255
"CATH16__2019-08-05__03-44-27.jpg","Animal",0.916
"CATH16__2019-08-05__03-44-27.jpg","Animal",0.222
"CATH16__2019-08-05__11-43-37.jpg","Blank",0
"CATH16__2019-08-05__11-43-37.jpg","Blank",0
"CATH16__2019-08-05__12-00-00.jpg","Blank",0
"CATH16__2019-08-05__12-00-00.jpg","Blank",0
"CATH16__2019-08-05__17-49-41.jpg","Animal",0.946
"CATH16__2019-08-05__17-49-44.jpg","Animal",0.49
"CATH16__2019-08-05__23-38-27.jpg","Animal",0.987
"CATH16__2019-08-06__02-02-37.jpg","Animal",0.99
"CATH16__2019-08-06__02-02-37.jpg","Animal",0.162
"CATH16__2019-08-06__12-00-00.jpg","Blank",0
"CATH16__2019-08-06__12-00-00.jpg","Blank",0
"CATH16__2019-08-07__02-40-49.jpg","Animal",0.999
"CATH16__2019-08-07__02-40-50.jpg","Animal",0.967
"CATH16__2019-08-07__12-00-00.jpg","Blank",0
"CATH16__2019-08-07__12-00-00.jpg","Blank",0
"CATH16__2019-08-07__22-29-43.jpg","Animal",0.987
"CATH16__2019-08-07__22-29-43.jpg","Animal",0.201
"CATH16__2019-08-08__00-29-58.jpg","Animal",0.994
"CATH16__2019-08-08__12-00-00.jpg","Blank",0
"CATH16__2019-08-08__12-00-00.jpg","Blank",0
"CATH16__2019-08-08__12-39-21.jpg","Blank",0
"CATH16__2019-08-08__12-39-21.jpg","Blank",0
"CATH16__2019-08-09__00-50-00.jpg","Animal",0.998
"CATH16__2019-08-09__00-50-02.jpg","Animal",0.999
"CATH16__2019-08-09__00-50-25.jpg","Animal",0.998
"CATH16__2019-08-09__06-03-22.jpg","Animal",0.999
"CATH16__2019-08-09__06-03-22.jpg","Animal",0.16
"CATH16__2019-08-09__06-03-23.jpg","Blank",0
"CATH16__2019-08-09__06-03-23.jpg","Blank",0
"CATH16__2019-08-09__12-00-00.jpg","Blank",0
"CATH16__2019-08-09__12-00-00.jpg","Blank",0
"CATH16__2019-08-09__23-05-23.jpg","Animal",0.98
"CATH16__2019-08-10__12-00-00.jpg","Blank",0
"CATH16__2019-08-10__12-00-00.jpg","Blank",0
"CATH16__2019-08-11__00-01-14.jpg","Animal",0.996
"CATH16__2019-08-11__12-00-00.jpg","Animal",0.116
"CATH16__2019-08-12__12-00-00.jpg","Blank",0
"CATH16__2019-08-12__12-00-00.jpg","Blank",0
"CATH16__2019-08-13__12-00-00.jpg","Blank",0
"CATH16__2019-08-13__12-00-00.jpg","Blank",0
"CATH16__2019-08-14__01-46-40.jpg","Animal",0.979
"CATH16__2019-08-14__01-46-40.jpg","Animal",0.103
"CATH16__2019-08-14__01-46-41.jpg","Blank",0
"CATH16__2019-08-14__01-46-41.jpg","Blank",0
"CATH16__2019-08-14__12-00-00.jpg","Animal",0.104
"CATH16__2019-08-15__12-00-00.jpg","Animal",0.45
"CATH16__2019-08-16__12-00-00.jpg","Animal",0.453
"CATH16__2019-08-16__12-00-00.jpg","Animal",0.387
"CATH16__2019-08-17__12-00-00.jpg","Animal",0.101
"CATH16__2019-08-18__12-00-00.jpg","Blank",0
"CATH16__2019-08-18__12-00-00.jpg","Blank",0
"CATH16__2019-08-18__13-35-59.jpg","Animal",0.103
"CATH16__2019-08-19__12-00-00.jpg","Blank",0
"CATH16__2019-08-19__12-00-00.jpg","Blank",0
